genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
ITIH5,hsa-miR-126-5p,FAM153A,CDH6,GPR65,PRSS51,RASAL3,LILRA5,PRR9
C11orf21,KAZN,PADI1,C1orf94,FOLR3,XKR3,RP4-536B24.3,PRSS21,FCRL4
CREB5,hsa-miR-139-5p,LINC00669,LCT,PLCB2,ABCA12,ZNF154,SLC22A11,FGF3
ADRA1D,SIGLEC7,LINC01224,CALML3,HAMP,AP003774.1,hsa-miR-592,PRR33,CST6
GPR141,hsa-miR-16-2-3p,OR6S1,UPK3BL,SNX22,RP11-523O18.7,FUT9,RAET1L,MALRD1
MYRFL,hsa-miR-4732-3p,HS3ST6,BPIFA1,TREML1,BAIAP3,ANKRD30A,SPERT,LRRC31
HLA-DQB1-AS1,hsa-miR-4662a-5p,PMP2,SERTM1,ASTL,MUC15,XKR7,NR5A1,CKB
RP11-764K9.1,AP000295.9,UTS2,SLC38A4,CRX,CELA2B,ZG16,ITK,ALPI
RP11-402G3.5,hsa-miR-206,RP11-285E9.6,MSMB,BAALC,hsa-miR-4732-3p,TNS4,TMC7,ALDH3B2
RAB27B,hsa-miR-10b-5p,hsa-miR-887-3p,SPAG6,WAS,HRH3,hsa-miR-1271-5p,SLC39A4,ASPG
AC004009.2,TM6SF1,ANKRD30A,ASB15,KIAA0922,CNIH2,hsa-miR-194-5p,SOWAHA,SLC8A2
ITGAX,hsa-miR-139-3p,RP5-907C10.3,MMD2,NCKAP1L,KCNH6,DDC,HLA-DPA1,GPR123
RP11-449D8.5,hsa-miR-223-3p,SLC47A1,ACTC1,CD53,SRMS,FSTL4,FAM153A,CIDEA
EMR2,hsa-miR-126-3p,hsa-miR-628-3p,RP11-844P9.2,TFEC,LINC01090,hsa-miR-484,MUC17,LINC01234
GP1BA,hsa-miR-342-3p,hsa-miR-548v,C11orf53,AICDA,CREB3L3,KRT24,KLK12,WDR16
RP11-390F4.6,hsa-miR-20b-5p,RP11-346D19.1,HCAR1,IRF8,TYRP1,CYP24A1,HBB,SPIC
RP11-386M24.6,GJB3,hsa-miR-451a,KIAA1244,CD244,CLCA2,RAB42,KLRB1,SYNM
RP11-161I6.2,hsa-miR-486-5p,FGD2,SOX21,OR2A42,LLNLF-158E9.1,hsa-miR-3655,COLGALT2,KAZN
TRIM58,hsa-miR-155-3p,hsa-miR-191-5p,ADRA1A,MMP10,ACP5,DOCK8,KIF14,GIMAP6
