genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
hsa-miR-6718-5p,CLCA4,TUBB4A,CRB2,WFDC12,HAO1,RP11-849I19.1,TRIM15,PRSS33
hsa-miR-128-1-5p,EYA1,CHIT1,PADI2,INA,C10orf105,AC055733.1,B3GNT3,SSC4D
LRRC31,DLX2,AMER3,IRX5,CYP2S1,RP11-115H13.1,RFX4,CXCL17,DMBX1
CHP2,UGT1A3,RNF223,SLC15A3,KCNK16,TPX2,SLAMF6,CHD5,MAP7D2
PSG3,PRAME,RBFOX3,FAT3,MAB21L2,LYL1,AIPL1,PSG5,DCAF12L1
BPIFA2,TUSC5,ZNF114,EMILIN2,PLP1,RP11-65J3.3,hsa-miR-6718-5p,SIGLEC11,DRC1
ZNF729,CALML3,CD79B,MIR1255B1,KCNN4,AP006285.3,NFE4,PDLIM3,LINC00943
hsa-miR-31-5p,ELANE,CLGN,INSM2,AKR1B15,CCL4,RP11-102K13.5,TAC3,TRPV6
ALK,CD300LB,RP11-58E21.5,LINGO3,XAGE5,RNF103-CHMP3,LBP,BAIAP3,PLA2G12B
TMPRSS6,MIA,TCP11X2,RP4-576H24.4,TRIM31,ASB4,RP11-613C6.2,MAGEA6,HOXD10
hsa-miR-3191-5p,CCR7,RP11-402G3.5,SAA2-SAA4,STK31,CERKL,hsa-miR-6503-5p,BRS3,LGI3
LAMA3,ITGAL,AC006262.10,ASTL,CHRDL2,RP11-930P14.1,LAT2,KLK11,LINC01090
TLX3,SCGB2A1,LINC01331,SOX17,SOX14,RP11-771K4.1,RP5-1042I8.7,TMPRSS15,CFAP61
hsa-miR-144-3p,PF4V1,TFF2,CCKAR,TMEM132B,hsa-miR-605-5p,EEF1A2,NEURL3,ABCC8
LINC00861,TUBAL3,RP11-115D19.1,FCGR3B,TCF24,TRH,RP11-1007G5.2,PNCK,RSPO2
RP11-126O1.6,TNFRSF19,LIPE,C4orf26,RNF223,TAC3,KCNK13,APCDD1L,SIAH3
C1orf226,KRT81,LPXN,PSG8,ST18,AC114730.3,SUSD3,TYRP1,ACTL8
CAPNS2,BARHL2,LY6G6C,USH1C,SMPX,HLA-DQB1-AS1,LINC01050,BRINP3,RP4-549F15.1
SLC7A9,FGF3,RP11-472G21.2,ALDH3B2,SLC27A2,SYNE3,GPR148,APLP1,CEACAM5
BAIAP2L2,HLA-DPB1,SERPINA11,GPX2,MT3,ACTL6B,MYBL1,PTCRA,BRS3
HPR,GRIFIN,AC103563.8,PSG3,ESPN,SLC39A5,THRSP,FP325317.1,LDLRAD1
hsa-miR-203a-3p,OR5K2,MAP3K19,DOCK10,NTF4,CA14,KIF14,PATL2,PAEP
OSCAR,BPIFA2,CTD-2536I1.2,KRT36,HR,LILRA5,SHISA8,RETN,HOXC12
S100A7,ATOH1,UGT1A6,ACTL8,LRRIQ4,YBX2,MS4A14,IVL,CWH43
hsa-miR-3613-5p,C20orf85,PSG9,UBXN10,CEACAM6,CTD-2589M5.4,CHST6,SAGE1,RP11-58E21.5
TMPRSS15,KRT13,IGSF23,CCR6,ACTC1,LINC00173,C22orf42,FHDC1,SERPINA11
C12orf42,DMBT1,RP11-11C20.3,SCGN,IL36RN,MS4A1,TRBV11-2,SYNM,PCDH11X
TSPAN32,CALHM3,CHAT,AGR3,GCNT3,CTD-2026G6.3,MUC17,CD79A,RP11-326C3.14
CDH10,ACTL8,RP11-145A3.1,TRPM1,PYY,SULT4A1,SYNE3,TFF1,CLEC3A
PIWIL1,PHGR1,LINC00645,DQX1,BRS3,BANK1,RLTPR,SIGLEC1,MLN
hsa-miR-1269b,CHGB,MIOX,DCX,ATP2C2,PNLDC1,NPHP3-AS1,KLK7,FABP7
CD86,SOX1,SPN,DHRS2,SNCB,TCEAL2,PRDM12,FUT9,TNNT1
HRASLS2,FADS3,CTB-114C7.4,TM4SF19,CES3,hsa-miR-6815-5p,MAGEA12,KCNJ6,TMEM145
CCDC108,CEACAM20,hsa-miR-218-1-3p,OR52N4,IL36G,DEFA5,FLI1,NKX2-8,KRT36
HTR5A,CRIP3,HOXB13,HS6ST3,NPY4R,RP11-53B2.5,SLC6A14,GIMAP6,RP11-826N14.4
ZG16B,TACR2,RP11-981G7.3,GBX1,CRISP2,CTD-2529P6.4,SPACA4,HSPA1B,RP1-76B20.11
CIDEA,ABCB4,SLC18A2,hsa-miR-200a-5p,ABHD17C,TUBAL3,SYT13,IQSEC3,RP11-12J10.4
hsa-miR-503-5p,ANXA13,TFAP2B,CAMK2B,MLPH,PCSK1,NPFFR2,SULT1C2,RBP2
ZNF488,VWA5B2,HIST1H1C,HIST2H2BF,MT4,AP001056.1,IL12RB1,LCP2,GSTA2
DPEP2,MAGEC2,SCGB2A2,PKHD1,KCNJ3,KLK10,TUBB4A,GPR128,HOXB8
FAM83E,LGI3,LHX8,hsa-miR-215-3p,OR1N2,CTD-2340D6.1,hsa-miR-1269b,SLC6A3,LEP
DEFA3,OFCC1,CHRDL2,ADAD2,SOX2,PIK3C2G,C19orf38,CTD-2370N5.3,GNLY
MUC21,OTP,NCF2,CD300E,SP8,HOXB9,hsa-miR-106a-5p,ENTPD8,ATP4B
TNNC2,MGC50722,NPHP3-AS1,ERMN,BCL2L14,AC104809.2,TMEM132B,CELF3,FAM57B
VAMP1,VSIG2,SLA,KRT16,KCP,SHISA8,SDR16C5,ZNF750,ZNF23
NEB,CORO2A,HIST2H4A,GDNF,EFNA3,KCNE1,SHISA9,IGFLR1,CYP2F1
TMEM145,SSTR2,RP11-20J15.5,CXCR2,PCDH10,TGFB3,GLYATL3,CDHR5,APOC2
JPH3,HEPACAM2,IL12RB1,VMO1,INSC,hsa-miR-6810-3p,CACNA1A,PAPPA2,CXorf22
ALOX12B,SLC34A2,AP003774.1,REG4,EPHB3,HAPLN1,SRMS,SMIM6,UGT1A4
LPHN3,HS3ST4,ELFN2,FCRL6,SYNM,RP11-180P8.1,SERPINB4,C5orf38,RP11-411K7.1
VIPR1,CELF2,FCRL4,MS4A10,CNGA3,RBFOX3,LY6D,MRAP,C1orf200
EIF2S3L,CLEC12B,RP11-121A8.1,ATP4A,GRPR,CTD-2587H24.5,RBP7,CRACR2B,ASB4
hsa-miR-194-5p,SLAMF8,RP11-386M24.6,GRPR,MAGEB2,RP11-322E11.3,AMHR2,ZC3H12D,STK31
PRKAR2B,PCDH20,CTD-2314G24.2,BTK,TTC29,TEX19,FEZF1,SLC7A14,LHFPL4
NCMAP,GPRC5A,CCL14,GCNT3,KCNC2,RP11-468H14.2,ANKRD55,SLCO1B7,KCNH5
UBD,TRPA1,RP11-115D19.3,FAM83C,GJD2,RNASE6,POLR2J2,TMPRSS3,IL17REL
TM4SF20,FERMT1,FAM25A,SLC35F4,HOXB9,RP11-115D19.1,TDO2,FCRL1,WNT11
IKZF1,IL36B,VSTM2L,MLNR,REP15,PRKCG,SYT8,SLC39A5,hsa-miR-424-5p
GDA,LGALS7,ECT2,ATP10B,ELAVL3,CLEC17A,SYCN,ZNF729,MIR1255B1
HSD11B2,SNX20,MIA-RAB4B,SLC30A2,ZDHHC22,SLC4A11,RP11-30O15.1,PRIMA1,FAM150A
CHAT,FAM156B,TPX2,KRT6A,TAC3,CTD-2370N5.3,RP1-232L24.3,HRG,SOX15
APLP1,CYP2C19,NOL4,KRT72,GRM4,CLEC4E,C6orf15,DAW1,AIF1
PLIN4,CKMT1B,hsa-miR-520a-5p,HIST2H3C,NOL4,C1orf200,KIF17,NKX1-2,hsa-miR-150-5p
FAM83A,LEFTY2,MYADML2,KCNA5,OMP,LINC00643,AP003774.1,FAM26F,GPR31
PPBP,FABP2,CD33,LINC01272,MYADML2,DDX25,PRR15,PYY,IL20RB
SPIRE2,NFAM1,FAM153C,TRIM29,BARX1,LINC01351,SLC7A9,CSMD3,IGSF6
TNF,PIK3AP1,SLC10A2,CSAG1,WFDC10B,ECT2,AGR2,LY6G6C,RP11-574F11.3
TTC24,CXCR5,LINC01234,RP4-549F15.1,HIST2H2BE,PKP3,CDC6,CHI3L2,GFRA3
INA,HIST1H3H,IL36RN,SEMA4G,RP11-35N6.1,TMEM114,RP11-20J15.5,CSTL1,KCNIP2
SHISA7,FAM150A,RPPH1,SLCO1B1,FAM81B,LINC01048,RP11-700H6.2,C11orf44,CCDC108
PLAC1,CAMK2B,SFMBT2,EN2,STMN4,AC004009.2,RP11-794G24.1,PABPN1L,MELK
CCR1,MKRN3,RHBDL2,PLD4,HOXB8,LIPE,CLPS,SULT1E1,CEA
PF4V1,RHBDL1,CTAGE15,CD1C,HTR5A,RP11-430H10.3,RP4-555D20.1,PTPRN2,C10orf128
CLEC1B,PDE4C,GLRA3,hsa-miR-18a-5p,POLR2J2,KRTAP4-1,CYP4F2,SOD2,CCR7
GPNMB,MPPED1,RP11-147L13.15,AIM1L,TOX3,PAPPA2,CTA-363E6.2,PCDH20,ATCAY
GYPC,SLC17A4,CITED1,LYPD8,F7,RP11-1055B8.9,TMEM213,TFF3,LCN2
hsa-miR-500a-3p,SYTL5,PPIAL4C,hsa-miR-4668-3p,HIST2H2BF,PARVG,BTBD11,DEFB132,MISP
FAM159B,hsa-miR-375,C10orf128,CACNA1B,SYP,RP11-644L4.1,ANGPTL6,HOXC10,APCDD1L
PI3,BAIAP3,ERN2,PAX9,MISP,SIGLEC11,RP11-472G21.2,FBN3,RP11-386M24.6
POLR2J2,IL18RAP,IL10RA,C1orf87,BTNL3,RP11-219E7.1,CFP,CD180,SIGLEC8
TMEM257,ITIH5,PI3,FAM183B,KNG1,LINC01091,ABCG5,CHRDL2,LAT2
ARHGAP9,RTP5,HBD,MYH8,ASB4,CASP14,SHANK3,KLHL30,PVALB
LIPF,CTAG2,SDR16C5,SPINK4,SPDYC,CEBPE,SERPINB13,TMEM238,F7
RIPPLY2,CYP4F2,KCNA3,NTS,UNC5D,ATG16L2,CTA-384D8.31,KCNJ16,ZNF295-AS1
AGMO,ABCA12,EPB42,TPO,KISS1R,RP11-147L13.15,KLK12,PCSK1,SFTPB
GLRA3,ARHGAP30,SPTA1,CTD-3214H19.16,LGALS4,HEATR9,hsa-miR-503-5p,TRPV2,DSG1-AS1
PHOSPHO1,TFF3,HVCN1,GNLY,GABRA3,FLJ45079,IPCEF1,PRKAR2B,RP11-643A5.3
GAD2,GALNT5,CKMT1B,GRIN1,CSN3,hsa-miR-891b,PRSS21,LAMP5,RP11-262H14.3
PRODH,XAGE5,RP11-96O20.2,TG,AGMO,CYBB,AC023590.1,MAGEA3,KCNG4
IL36B,POLR2J2,BMP3,AC010890.1,ATCAY,RP11-229P13.15,CCKBR,LUZP2,GIPR
ICAM3,PIK3CG,CTD-2340D6.1,CKB,C1orf110,RP11-481J2.2,SCGB2A2,XK,ITGB7
PRR35,C19orf35,KRT25,ATOH1,FAM57B,KLHL41,VSTM2L,FAM83E,TYRP1
ZMAT1,UNC5D,LIPH,KIAA1324,KCNMB2,RP11-58E21.5,FCRL2,SDR16C5,TPO
RASAL1,ABCG5,VTCN1,GPR31,VWA3A,GP9,RP11-1079K10.3,GH1,ANGPTL6
UGT2B11,GRM4,TTC16,SH3TC2,TGM5,RP11-732A19.9,RASL11B,SGCZ,ADRA1A
USP44,SERPINB13,EPHA10,GPR110,TPSD1,RP11-736E3.3,TMEM72,ACSM5,PLA2G3
PIP5K1B,KLK11,C5orf46,NRXN1,SCGB2A1,RP11-326I11.4,MASP1,CERS1,SEZ6
ITGA3,ASB4,MEF2C,PLA2G2A,ABO,JPH3,SPTA1,ASPG,MAG
PCSK1N,APOH,IGFL1,LRRC31,RFX6,PPY,SYT14,LGALS12,AC234582.1
GYPE,TMPRSS15,CD247,CD52,ADCY8,GPR183,IKZF1,SLA,ITLN2
LCE3D,FCN2,AHSG,NR0B1,MYRFL,AL133493.2,LINC01234,FLI1,C16orf78
hsa-miR-218-1-3p,FPR3,ANKRD44,FAM65B,NR0B1,AC079779.4,ITGA4,FILIP1L,RP11-527L4.2
WISP3,IRX1,RP11-352D13.6,KISS1R,ATP6V0A4,CCDC60,IGFL1,DNER,CDCA7
FOLH1,RIPPLY2,INPP5D,PVALB,CITED1,RP5-903G2.2,GPR55,LCN1,LILRA5
DDX25,HOXA6,ALB,MCEMP1,KL,AC006129.1,TRIM50,SLC2A6,CEACAM3
FCER1G,TNNT1,RP1,TUBB1,LEMD1,PTK6,C10orf105,KRT9,CLRN3
UGT1A10,PDZRN4,GPHA2,CRTAM,CDX1,TYROBP,GABRQ,ABCC11,C1orf110
REG4,EVX1,CD3G,HIST3H2A,FSIP2,U62631.5,FXYD3,KIF17,PP2672
